"epoch","stage","metric","value"
1,"train","accuracy",0.865895807743073
1,"train","loss",0.436888784170151
1,"val","accuracy",0.9503333568573
1,"val","loss",0.16637147963047
2,"train","accuracy",0.940020859241486
2,"train","loss",0.199136406183243
2,"val","accuracy",0.965499997138977
2,"val","loss",0.115198791027069
3,"train","accuracy",0.956125020980835
3,"train","loss",0.15135794878006
3,"val","accuracy",0.970083355903625
3,"val","loss",0.10482769459486
4,"train","accuracy",0.962187528610229
4,"train","loss",0.128859028220177
4,"val","accuracy",0.971499979496002
4,"val","loss",0.100983619689941
5,"train","accuracy",0.966687500476837
5,"train","loss",0.11492607742548
5,"val","accuracy",0.973583340644836
5,"val","loss",0.0900890231132507
NA,"test","accuracy",0.976400017738342
NA,"test","loss",0.976400017738342
